Systemnummer,Barcode,Volltext,Verlagsort normiert ; GND-ID,Verleger normiert ; GND-ID,Drucker ; GND-ID,Erscheinungsjahr,Marker,Werktitel,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe
AC09716233,Z20322520X;Z203225107,http://data.onb.ac.at/ABO/%2BZ20322520X;http://data.onb.ac.at/ABO/%2BZ203225107,Bayreuth; (DE-588)4005056-7,"Gebhard, Johann; (DE-588)103751615X",,1676,TravelogueD17 Europa,HochFürstlicher Brandenburgischer Ulysses,Hochfürstl. Brandenburgischer Ulysses:; oder Verlauf der Länder Reise/ welche Der Durchleuchtigste Fürst und Herr/ Herr Christian Ernst Marggraf zu Brandenburg/ zu Magdeburg/ in Preußen/ zu Stettin/ Pommern/ der Cassuben und Wenden/ auch in Schlesien/ zu Crossen und Jägerndorf Herzog/ Burggraf zu Nürnberg/ Fürst zu Halberstadt/ Minden und Cammin/ durch Teutschland/ Frankreich/ Jtalien und die Niederlande höchstlöbl. verrichtet:; Aus denen Reis-Diariis zusammengetragen und beschrieben/ durch Sigmund von Birken C. Com. Pal.
AC09720747,Z221151005,http://data.onb.ac.at/ABO/%2BZ221151005,Helmstedt; (DE-588)4024344-8,"Gerlach, Johann Nikolaus; (DE-588)14018936X",,1687,TravelogueD17 Afrika Asien Europa; TravelogueD17 Orient,<<A>> Voyage into the Levant; 1634,<<Des Edlen Herrn Henrich Blunt/ Englischen Herrn und Ritters>> Morgenländische Reise/ Durch Dalmatien/ Sklavonien/ Thrazien und Egypten/ etc. in welcher die grundfeste Des Türkischen Staats/ genausichtig untersuchet wird/ Erstlich von ihm in Englisch verzeichnet/ Nun aber in die reine Hoch=Teutsche Sprache übersetzt von G. C. S. A. T. Nebst einem Bedenken über diese Betrachtungen/ worinnen zugleich die Ursachen des itzigen fals dieses mächtigen Reichs gesucht werden
AC14472348,Z168353400,http://data.onb.ac.at/ABO/%2BZ168353400,Frankfurt am Main; (DE-588)4018118-2,"Le Blon, Christoph; (DE-588)129782793","Fievet, Philipp",1648,TravelogueD17 Arktis Asien Europa,"Journael, of Gedenckwaerdige beschrijvinghe van de Ost-Indische Reyse van Willem Ysbrantz Bontekoe van Hoorn; 1646",<<Die>> Vier vnd Zwantzigste Schiffahrt/ Jn welcher mit wahren Vmbständen beschrieben wird/ Erstlich Die denckwürdige Reyse nach OstJndien/ S. Wilhelm Jßbrands Bontekuhe von Horn: Vorgenommen den 28. Decemb. 1618. vnd vollbracht den 16. Novemb. 1625.; Demnach: Eine andere Reyse durch den Commandeur Türck Alberts Raven/ nach Spitzbergen im Jahr 1639 verrichtet. Jn welchen vnterschiedlich viel merckwürdige Händel vnd Fälle gründlich erzehlet werden. Beneben darzu nothwenidgen Kupfferstücken. Verlegt vnd zum Druck befördert/ durch Christophel le Blon
AC09729557,Z177173803,http://data.onb.ac.at/ABO/%2BZ177173803,Wien; (DE-588)4066009-6,"Rickhes, Michael; (DE-588)1037531299","Rickhes, Michael; (DE-588)1037531299",1633,TravelogueD17 Asien,"Relatione della nuova missione delli PP. della Compagnia di Giesù, al Regno della Cocincina","Relation. Von dem newen Königreich. Cocincina Deß Ehrwürdigen Patris Christophori Borri, der Societet Jesu. Auß dem Welsch- vnd Lateinischen verteutscht . Zu Ehren vnd newen Jahr Aller der Hochlöblichen Brüderschafft vnser Lieben Frawen Himmelfahrt/ in dem Profess Hauß der Societet Jesu zugethanen Frawen vnd Fräwlein"
AC09729816,Z180059703,http://data.onb.ac.at/ABO/%2BZ180059703,Nürnberg; (DE-588)4042742-0,Christoph Endter Erben; (DE-588)6146413-2,,1681,TravelogueD17 Nordamerika Südamerika,"Leeven en daden der doorluchtighste zee-helden en ontdeckers van landen, deser eeuwen. Beginnende met Christoffel Colombus; 1676","Leben und Tapffere Thaten der aller=berühmtesten See=Helden/ Admiralen und Land=Erfinder unserer Zeiten/ angefangen mit Cristoforo Colombo Entdeckern der Neuen Welt/ und geendigt mit dem Welt=berühmten Admiral M. A. de Ruyter, Rittern/ etc.; Worinnen Viel seltsame Geschichten/ Ritterliche Verrichtungen/ klüglich=tapffere Anschläge/ und blutige See=Treffen/ aus beglaubten Schrifften und Originalien beurkundet/ und mit schönen Kupffer=Figuren beleuchtet/ zu finden sind:; Unlängst in Nider=Teutscher Sprache aufgesetzt/ durch V. D. B. Anjetzo aber in unsere Hoch=Teutsche reinlich überbracht/ Von Matthia Krämern/ Sprachmeistern. Samt einem Anhange/ Vieler Denckwürdigkeiten/ welche der Niderländische Author den Helden=Thaten Allmeyda/ Albuquerque/ und Acuniæ/ entweder ausgelassen/ oder nur kützlich/ beygtragen und erstattet/ Durch Erasmum Francisci"
AC09732089,Z180648502,http://data.onb.ac.at/ABO/%2BZ180648502,Leipzig; (DE-588)4035206-7,"Ritzsch, Timotheus; (DE-588)100844332","Ritzsch, Timotheus; (DE-588)100844332",1671,TravelogueD17 Afrika Asien Europa; TravelogueD17 Orient,"Rélation du voyage de Mgr. l’evêque de Beryte par la Turquie la Perse, les Indes … jusqu’au royaume de Siam","<<M. de Bourges>> Wahrhaffte und eigendliche Erzehlung von der Reise des Bischofs von Beryte/ Auß Franckreich zu Wasser und Lande nach China, Nemlich Auß Marsilien übers Mittel=Meer nach Algier und so ferner ruch Syrien/ Arabien/ Persien/ und unterschiedne Jndianische Landschafften/; Mit genauer Beschreibung der Städte und Plätze/ Gottesdienste und Sitten der Völcker/ sam[m]t derer zu dieser Reise nützlichen Kosten/ item von der Müntze/ so in selbigen Landen gangbar. Verteutscht durch T. R. C. S. C. S. Mit zugefügten Kupfferstücken gezieret"
AC14470363,Z256482103,http://data.onb.ac.at/ABO/%2BZ256482103,Frankfurt am Main; (DE-588)4018118-2,Levinus Hulsius Erben; (DE-588)6146897-6,"Palthenius, Hartmann; (DE-588)1037516532",1626,TravelogueD17 Orient; TravelogueD17 Afrika Europa Asien,"Samuel Brun, des Wundartzet und Burgers  zu Basel, Schiffarten, Welche er in etliche newe Länder und Insuln, zu fünff underschiedlichen malen, mit Gottes hüllf gethan;;Fünff Schiffarthen Samuel Brauns Burgers und WundArzt zu Basel/ so er vor kurzen Jahren in unterschiedliche fremde Königreich und Landschafften glücklich gethan; 1624",<<Die>> Neunzehende Schiffarth/ Jnhaltendt/ Fünff Schiffarthen Samuel Brauns Burgers vnd WundArtzt zu Basel/ so er vor kurtzen Jahren in vnterschiedliche frembde Königreich vnd Landschafften glücklich gethan/; Nemlich/ Jn Africam vnd dessen Provincien Congo/ Bansa Loanga/ Angola/ Guinea/ Morenland/ Bennin/ Amboisa/ vnd zu dem festen Castell Nassaw in More. Jtem gen Alexandriam in Syrien/ in Portugall/ Hispanien/ Jtalien/ wie auch vnterschiedliche Jnsulen/ Als da seynd die Canarien/ Medera/ Cales Males/ Malta/ Candia/ Cypern/ Sicilien/ Sardegna/ Corfu/ vnd andere mehr/ biß zu seiner Widerkunfft in Hollandt
AC11093192,Z185143807,http://data.onb.ac.at/ABO/%2BZ185143807,Frankfurt am Main; (DE-588)4018118-2,Theodor de Bry der Ältere Erben; (DE-588)6146255-X,"Rötel, Kaspar; (DE-588)1037507312",1625,TravelogueD17 Afrika Asien Europa; TravelogueD17 Orient,"Samuel Brun, des Wundartzet und Burgers  zu Basel, Schiffarten, Welche er in etliche newe Länder und Insuln, zu fünff underschiedlichen malen, mit Gottes hüllf gethan; 1624",Anhang der Beschreibung deß Königreichs Congo; Jnnhaltend/ Fünff Schiffarten Samuel Brauns Burgers vnd Wundartzt zu Basel/ so er kurtz verwichener Jahren in vnderschiedliche weit entlegene frembde Königreich vnd Landschafften glücklich gethan/  Nemlich Jn Africam vnd dessen Provincien Congo/ Bansa Loanga/ Angola/ Guinea/ Morenland/ Bennin/ Amboisa/ vnd zu dem Festen Castell Nassaw in More. Jtem gen Alexandriam in Syrien/ in Portugal/ Hispanien/ Jtalien/ wie auch vnderschiedliche Jnsuln/ Als da sind die Canarien/ Medera/ Cales Males/ Malta/ Candia/ Cypern/ Sicilien/ Sardegna/ Corfu/ vnd ander mehr/ biß zu seiner wider Ankunfft in Holland. Alles von jhme selbsten nach ingenommenen gegenwertigen Augenschein vnd gnugsamer Erfahrung trewlich vnd warhafftig beschrieben/ vnd mit zugehörigen Kupfferstücken gezieret/ durch fleiß/ mühe vnd kosten Johann Theodors de Bry Seeligen gemeinen Erben
AC14472243,Z168353308,http://data.onb.ac.at/ABO/%2BZ168353308,Frankfurt am Main; (DE-588)4018118-2,"Hulsius, Friedrich <<van>>; (DE-588)123645336","Hoffmann, Wolfgang; (DE-588)129072931",1632,TravelogueD17 Europa,"Eygentliche unnd außführliche Beschreibung der Reyse, welche ... Georg Wilhelm und Ludwig Wilhelm, Gebrüdere von Streitberg zu Ahorn ... nach der ... Insel Malta gethan","<<Die>> drey vnd zwantzigste Schiffahrt/ Eygentliche vnnd außführliche Beschreibung der Reyse/ welche die Woledelgeborne/ Gestrenge vnd Veste/  Georg Wilhelm vnd Ludwig Wilhelm/ Gebrüdere von Streitberg zu Ahorn/ Sachsengrün/ Caulsdorff/ Schernegg vnd  Gattendorff/ etc. vnd Johann Hieronymus Marschalck von Ebeneth/ zu Frensdorff vnd Weingartsgreutt/ etc. nach der weitberümten Christlichen Helden Jnsel Malta, gethan:; Beschrieben vnd an Tag gegeben durch Johann Friedrich Breithaupt"
AC09738292,Z180620103,http://data.onb.ac.at/ABO/%2BZ180620103,Tübingen; (DE-588)4061147-4,"Gruppenbach, Philipp; (DE-588)1037520890","Gruppenbach, Philipp; (DE-588)1037520890",1607,TravelogueD17 Orient; TravelogueD17 Afrika Asien Europa,Enchiridion Orientalischer Reiß; 1607,Enchiridion Orientalischer Reiß Hanns Jacob Breunings/ von vnnd zu Buchenbach/ so er in Türckey/ benandtlichen in Griechenlandt/ Egypten/ Arabien/ Palestinam/ vnd in Syrien/ vor dieser zeit verrichtet
AC09738294,Z178361408,http://data.onb.ac.at/ABO/%2BZ178361408,Straßburg; (DE-588)4057878-1,"Karolus, Johann; (DE-588)138878536","Karolus, Johann; (DE-588)138878536",1612,TravelogueD17 Afrika Asien Europa; TravelogueD17 Orient,Orientalische Reyß Des Edlen unnd Vesten Hanß Jacob Breüning; 1612,"Orientalische Reyß Deß Edlen vnnd Vesten/ Hanß Jacob Breüning/ von vnd zu Buochenbach/; so er selb ander in der Türckey/ vnder deß Türckischen Sultans Jurisdiction vnd Gebiet/ so wol in Europa als Asia vnnd Africa/ ohn einig Cuchium oder FreyGleit/ benantlich in GriechenLand/ Egypten/ Arabien/ Palestina/ das Heylige Gelobte Land vnd Syrien/ nicht ohne sondere grosse Gefahr/ vor dieser zeit verrichtet. Alles in Fünff vnderschiedliche Meerfahrten disponirt vnd abgetheylet/ auch was in einer jeden derselben/ von tag zu tag fürgangen/ ordentlich vom Authore selbsten verzeichnet: darinn ein jede abgesonderte Materj vnder ihr eigen Capitel oder Titul gebracht/ vnd mit schönen Kupfferstücken gezieret. Mit angehenckter Summarischer Computation alles Meylen: sampt einem kurtzen Appendice, vnd außführlichen Registern/ so wol der Capitel als anderer denckwirdigen sachen"
AC14473154,Z168353503,http://data.onb.ac.at/ABO/%2BZ168353503,Frankfurt am Main; (DE-588)4018118-2,"Le Blon, Christoph; (DE-588)129782793","Le Blon, Christoph; (DE-588)129782793",1649,TravelogueD17 Asien Südamerika,"Journael ende historis verhael van de reyse gedaen by oosten de Straet le Maire, naer de custen van Chili; 1646",<<Die>> fünff vnd zweyntzigste Schifffahrt/ Nach dem Königreich Chili in West=Jndien/ Verrichtet durch Herrn Heinrich Brawern/ vnd Herrn Elias Herckemann/ im Jahr 1642. vnnd 1643; Sambt einer Beschreibung der zweyen Jnsulen Formosa vnd Japan. Wie zugehörigen Kupffer-Taffeln
AC09741211,Z156584406,http://data.onb.ac.at/ABO/%2BZ156584406,Nürnberg; (DE-588)4042742-0,"Zieger, Johann; (DE-588)12912706X","Spörlin, Johann Michael; (DE-588)103750772X",1686,TravelogueD17 Europa,Brief account of some travels in divers parts in Europe; 1673,"<<Edward Brown, M. D. Auf genehmgehaltenes Gutachten und Veranlassung der Kön. Engell. Medicinischen Gesellschafft in London>> Durch Niederland/ Teutschland/ Hungarn/ Serbien/ Bulgarien/ Macedonien/ Thessalien/ Oesterreich/ Steiermarck/ Kärnthen/ Carniolen/ Friaul etc. gethane gantz sonderbare Rejsen/; Worbey tausenderley merckwürdige Seltsamkeiten/ verschiedener Königreiche/ Länder/ ober= und unter=irdischer verwunderlicher Gebäue/ Städte/ Bäder/ Brünnen/ Flüsse/ Berge/ wie auch Gold=Silber=Kupffer=Bley= und Queck=Silber=Minen und anderer Mineralien etc. benebenst einem woluntersuchten Unterschied vielerley Völcker/ deren Religionen/ Sprach=Arten/ Kleidung/ Leibs= und Gemüths=Beschaffenheit: Fremder Thiere/ Früchte etc. auf das eigentichst=deutlichst=und lebhaffteste vorgestellet werden. Auf eine recht ungemeine/ gelährte/ in andern deßfals ausgegebenen Schrifften nicht=befindliche Weise/ mit durch und durch beygebrachten hochvernünftigen Anmerckungen anfangs in Englischer nachgehends in Holländischer Sprach beschrieben/ Nunmehr aber aus der letzern in die Hoch=Teutsche übersetzet/ und dem gemeinen Besten zu Nutz/ auch denen sonst Neuigkeits=Lieb=Gesinnten zu verhoffentlich mercklichem Gefallen/ als ein stattliches mit einigen netten Kupfferblatten ausgeziertes/ auch einem nöthigen Register erläutertes Werck/ auf vieler Verlangen/ durch offentlichen Druck gemein gemacht"
AC09742560,,,Frankfurt am Main; (DE-588)4018118-2,"Schiele, Johann Georg; (DE-588)124684203","Schiele, Johann Georg; (DE-588)124684203",1667,TravelogueD17 Europa,"Voyage d'Espagne Curieux, Historique, Et Politique; 1665",Reyse=Beschreibung/ Nacher Spanien; Voll artiger Geschichten und merckwürdiger Welt=Klugheiten/ Deren Beygefüget eine nacher Engelland/ Jn welcher viel Dinge berühret werden/ den Stand der Wissenschaften und der Religion/ auch andere merckwürdige Materien betreffend/ Beyde Anfangs in Frantzösischer Sprach beschriben anjetzo in das Teutsche übergesetzet; Durch Johann Mackle/ D.
AC09750435,Z221886406,http://data.onb.ac.at/ABO/%2BZ221886406,Leipzig; (DE-588)4035206-7,"Gleditsch, Johann Friedrich; (DE-588)104073772","Gleditsch, Johann Friedrich; (DE-588)104073772",1693,TravelogueD17 Europa,"Some letters containing an account of what seemed most remarkable in Switzerland, Italy &c","<<Des berühmten Englischen Bischoffs zu Salisbury Gilberti Burnets>> Durch die Schweitz/ Jtalien/ auch einige Oerter Deutschlandes und Franckreichs vor wenig Jahren gethane Rejse/; Und derselben Curieuse Beschreibung/ Worinnen die neuesten Im Geist= und weltlichen Staat entstandene Revolutiones enthalten ; Nebenst einem Anhang/ Jn welchem ausführlich von dem Qvietismo, Lebens=Beschreibung Molinos, und vielen andern Jtalien betreffenden Begebenheiten gehandelt wird/ Anfänglich in Englisch ietzo aber in deutscher Sprache beschrieben/ un din dieser dritten Edition nach dem Englischen mit Fleiß übersehen und verbessert"
AC09750783,Z202942703,http://data.onb.ac.at/ABO/%2BZ202942703,Nürnberg; (DE-588)4042742-0,"Endter, Johann Friedrich;;Endter, Michael; (DE-588)130896357;;(DE-588)102823219","Endter, Johann Friedrich;;Endter, Michael; (DE-588)130896357;;(DE-588)102823219",1664,TravelogueD17 Asien Europa; TravelogueD17 Orient,Legationis Turcicae epistolae quatuor; 1589,<<Augerii Gislenii von Busbeck>> Vier Sendschreiben der Türkischen Bottschaft/ welche von dem Röm. Keyser Ferdinand dem I. an Solimann/ damaligen Türkischen Keyser ihm aufgetragen worden:; Darinnen viel politische Lehren/ lustige Geschichte/ philosophische Discursen/ und was sich sonst denkwürdiges zugetragen/ ordentlich verfasst. Denen beygefüget eine Beschreibung seiner absonderlichen Reis/ von Constantinopel nach Amasien: Ein Bedenken von Anstellung und Fortsetzung des Türkenkriegs: Samt des Türkischen Abgesandten Relation/ in Frankfurth vor den Reichsständen. Alles aus dem Lateinischen geteutschet/ mit schönen Kupfern/ Türkischer Landkarte/ nothwendigen Anmerkungen und Register geziert/ und verbessert
AC09705617,,,,,,1666,TravelogueD17 Europa,,"Beschreibung wie ... Kaysers (Leopold I.) ... Raiß auff Schott-Wienn, und die allda beschehene Besuechung ... deroselben ... Gespons ... abgangen ist."
AC09757482,Z180648204,http://data.onb.ac.at/ABO/%2BZ180648204,Hamburg; Stockholm; (DE-588)4023118-5; (DE-588)4057648-6,"Naumann, Johann;;Liebezeit, Gottfried; (DE-588)1037506111;;(DE-588)1037497481","Naumann, Johann; (DE-588)1037506111",1678,TravelogueD17 Europa Arktis,"Vorstellungen des Norden, oder Bericht von einigen Nordländern, und absonderlich von dem so genandten Grünland; 1676",Norden/ Oder Zu Wasser und Lande im Eise und Snee/ mit Verlust Blutes und Gutes zu Wege gebracht/ und fleissig beschriebene Erfahrung und Vorstellung des Norden/ Auß Denen/ welche zu unterschiedenen Zeiten gelebet/ viel im Norden versuchet/ viel auch umbsonst angefangen und angewandt haben:; Auff guter Freunde Begehren zusammen gebracht dargereichet/ und fernen zu betrachten und zu vermehren/ von Rudolff Capel/ der H. Schrifft D. und Historiarum P. P. außgefärtiget
AC15456639,Z252901907,http://data.onb.ac.at/ABO/%2BZ252901907,,,,1665,TravelogueD17 Südamerika,Brevissima relación de la destruyción de las Indias; (DE-588)4294888-5,"Umbständige warhafftige Beschreibung Der Jndianischen Ländern/ so vor diesem von den Spaniern eingenommen und verwüst worden/; Durchgehends mit schönen Kupfferstücken und lebhafften Figuren außgezieret/; Erst in Lateinischer Sprach außgeben Durch Bartholomaeum de las Casas, Bischoffen in Hispanien/ Jetzt aber in das Teutsche übersetzt/ und an vielen Orten verbessert/ in dieser neu= und letztern Edition"
